clientEvent, server time, 10.919139, client Time, 1.853839,server step, 182, client step, 183, step Time, 183, input jump, 0
clientEvent, server time, 10.935961, client Time, 1.854839,server step, 183, client step, 184, step Time, 184, input jump, 0
clientEvent, server time, 10.952484, client Time, 1.871479,server step, 184, client step, 185, step Time, 185, input jump, 0
clientEvent, server time, 10.969564, client Time, 1.871479,server step, 185, client step, 186, step Time, 186, input jump, 0
clientEvent, server time, 10.985929, client Time, 1.888059,server step, 186, client step, 187, step Time, 187, input jump, 0
clientEvent, server time, 11.002475, client Time, 1.904573,server step, 187, client step, 188, step Time, 188, input jump, 0
clientEvent, server time, 11.019111, client Time, 1.903573,server step, 188, client step, 189, step Time, 189, input jump, 0
clientEvent, server time, 11.035757, client Time, 1.921120,server step, 189, client step, 190, step Time, 190, input jump, 0
clientEvent, server time, 11.052517, client Time, 1.921120,server step, 190, client step, 191, step Time, 191, input jump, 0
clientEvent, server time, 11.069153, client Time, 1.938457,server step, 191, client step, 192, step Time, 192, input jump, 0
clientEvent, server time, 11.085823, client Time, 1.953944,server step, 192, client step, 193, step Time, 193, input jump, 0
clientEvent, server time, 11.102481, client Time, 1.953944,server step, 193, client step, 194, step Time, 194, input jump, 0
clientEvent, server time, 11.119090, client Time, 1.970209,server step, 194, client step, 195, step Time, 195, input jump, 0
clientEvent, server time, 11.135748, client Time, 1.971209,server step, 195, client step, 196, step Time, 196, input jump, 0
clientEvent, server time, 11.152412, client Time, 1.987875,server step, 196, client step, 197, step Time, 197, input jump, 0
clientEvent, server time, 11.169098, client Time, 2.003563,server step, 197, client step, 198, step Time, 198, input jump, 0
clientEvent, server time, 11.185843, client Time, 2.004563,server step, 198, client step, 199, step Time, 199, input jump, 0
